"SELECT","NAME","FULL_NAME","ST","ST_CLADE","period"
"AmsHSX","AmsHSX-SPLIT79","02AG_000_AmsHSX_AmsHSX-SPLIT79","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT86","02AG_000_AmsHSX_AmsHSX-SPLIT86","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT6","A1_000_AmsHSX_AmsHSX-SPLIT6","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT34","02AG_000_AmsHSX_AmsHSX-SPLIT34","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT19","G_000_AmsHSX_AmsHSX-SPLIT19","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT15","02AG_000_AmsHSX_AmsHSX-SPLIT15","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT3","06cpx_000_AmsHSX_AmsHSX-SPLIT3","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT105","02AG_000_AmsHSX_AmsHSX-SPLIT105","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT84","C_000_AmsHSX_AmsHSX-SPLIT84","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT14","C_000_AmsHSX_AmsHSX-SPLIT14","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT7","C_000_AmsHSX_AmsHSX-SPLIT7","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT21","G_000_AmsHSX_AmsHSX-SPLIT21","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT8","G_000_AmsHSX_AmsHSX-SPLIT8","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT90","02AG_000_AmsHSX_AmsHSX-SPLIT90","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT71","C_000_AmsHSX_AmsHSX-SPLIT71","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT58","B_000_AmsHSX_AmsHSX-SPLIT58","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT24","G_000_AmsHSX_AmsHSX-SPLIT24","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT1","06cpx_000_AmsHSX_AmsHSX-SPLIT1","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT17","06cpx_000_AmsHSX_AmsHSX-SPLIT17","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT13","02AG_000_AmsHSX_AmsHSX-SPLIT13","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT25","G_000_AmsHSX_AmsHSX-SPLIT25","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT11","06cpx_000_AmsHSX_AmsHSX-SPLIT11","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT70","C_000_AmsHSX_AmsHSX-SPLIT70","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT34","A1_000_AmsHSX_AmsHSX-SPLIT34","A1",NA,"pre-startd"
